,Clean_Text,place.country,coordinates,compound,type
6367,betoorourke betoorourke legal refugees and asylum seekers,United States,"[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]",0.128,Positive
6370,rightwinglawman shostuffdora thedemocrats it all stall amp delay we must all go to the polls in november to prevent the lunatics from taking of the asylum our government has become,United States,"[[-88.348774, 42.298602], [-88.2299845, 42.298602], [-88.2299845, 42.372247], [-88.348774, 42.372247]]",-0.6808,Negative
6371,asylum was hands down the best season and coven was made for the gays thots1 asylum2 coven3 cult4 roanoke5 murder house6 hotel7 freak showahs ,United States,"[[-81.507905, 28.3882177], [-81.2276403, 28.3882177], [-81.2276403, 28.615139], [-81.507905, 28.615139]]",-0.5267,Negative
6372,now in stock at wooden nickel records asylum records has just released one of tom waits greatest albums heaattack amp vine on a an limited edition indie store only cokebottle clear ,United States,"[[-85.336872, 40.95926], [-85.003231, 40.95926], [-85.003231, 41.214574], [-85.336872, 41.214574]]",0.7096,Positive
6373,just received a fb notification that a local haunted house is looking for actors no experience required benefits included bone asylum gt creative media,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.3182,Positive
6374,full offense to myself the first episode of ahs asylum is totally me and my bf,United States,"[[-82.831674, 27.935178], [-82.679007, 27.935178], [-82.679007, 28.050243], [-82.831674, 28.050243]]",-0.25,Negative
6376,our adult amp child clients regularly complain about how cold cbp icegov hielerasholding cells are this cruel treatment is one of many reasons we need to stop imprisoning asylum seekers in for profit detention centers seeking asylum is not illegal ,United States,"[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]",-0.7074,Negative
6378,chrislhayes clearly we can finally say realdonaldtrump is a loon right according to his buddy joe believing lies as the truth is the first step to the asylum the hospital will be full of all the magats too and the senategop amp housegop amp all of the white house,United States,"[[-119.3269396, 45.824334], [-119.258928, 45.824334], [-119.258928, 45.864803], [-119.3269396, 45.864803]]",0.296,Positive
6380,therealchrbrown kylekashuv davidhogg111 if the seekers of asylum swore an oath to pay 85 in taxes and cast a ballot for republicans i might think about it they claim to be refugees but according to international law theyre supposed to stop at the first border not go through 3 more countries,United States,"[[-86.294632, 42.341297], [-86.239726, 42.341297], [-86.239726, 42.42012], [-86.294632, 42.42012]]",-0.4588,Negative
6381,i represent dozens of asylum seekers preparing and communicating with one who is detained is difficult gathering evidence for their case is beyond challengingthis is cruel and is no doubt pa of a racist number of decisions specifically targeting central americans ,United States,"[[-74.045819, 40.750571], [-74.0148147, 40.750571], [-74.0148147, 40.782669], [-74.045819, 40.782669]]",-0.9468,Negative
6382,kamalaharris where do people that fear for their life in chicago nola detroit baltimore go to seek asylum asking for a friend,United States,"[[-106.645646, 25.837092], [-93.508131, 25.837092], [-93.508131, 36.500695], [-106.645646, 36.500695]]",0.0,Neutral
6383,foxnews no im not im worse off gas prices higher inflation eating up more of my paycheck tax cuts for billionaires made them richer amp left the middle class behind again babies are still being caged at the border ice agents are murdering amp raping immigrants seeking asylum sick,United States,"[[-72.520017, 42.152753], [-72.395288, 42.152753], [-72.395288, 42.206314], [-72.520017, 42.206314]]",-0.8967,Negative
6386,mkkraemer brodyvburks also the up front bashing of gen x why they gotta bring the hate like that you do that and you summon the ethan hawke winona ryder soul asylum super transformer that will rise like a phoenix to destroy them w a killer 90s soundtrack obviously,United States,"[[-97.928935, 30.127892], [-97.5805133, 30.127892], [-97.5805133, 30.5187994], [-97.928935, 30.5187994]]",-0.5574,Negative
6388,realpatriot23 stormbastille timw3811 mypug4president sarahwaugh20 teasippingbarb agreeplay shirredeemable jdw714 guagelester deeppopq joeybaker09 lexus6504 amluvinit2 gopistreasonous buddhakatze rabamary fasteddyto abillionshivas tomzbhappy qanonisfake mclogic78 clausphanta rhondathecat havokhawk 42gnome randallpink17 zrx2coinbase angryandasian mykniyk stacydalessand3 drdebrajkenned2 lgbtresistance hubbinssaint elizabethbryso5 stellafactor zoneqone misscalliecat poersure mrmario1 hackdz mregan1002 mrsperrin tinostuff rileypresident kona2tx 104sonador catcatdean badgerczar michellerambo2 speaking of asylumwe need those nut houses back too many cra cras running loose,United States,"[[-82.069567, 26.531814], [-81.9041014, 26.531814], [-81.9041014, 26.741146], [-82.069567, 26.741146]]",-0.3182,Negative
6392,already it is hard for asylum seekers to pass their credible fear interviews now the ag is moving to strip them of the right to a bond hearing even if they pass their interviews ,United States,"[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]",-0.5574,Negative
6393,asylum anyone demsshouldbesoproudnot ,United States,"[[-111.056888, 40.994746], [-104.052236, 40.994746], [-104.052236, 45.005904], [-111.056888, 45.005904]]",0.0,Neutral
6394,ingrahamangle chuckgrassley proceed to a vote  prove that these lunatics arent running our asylum,United States,"[[-86.348441, 39.631677], [-85.937404, 39.631677], [-85.937404, 39.927448], [-86.348441, 39.927448]]",-0.3818,Negative
6396,scottadamssays damn who let her out of the asylum,United States,"[[-104.910562, 38.741142], [-104.668092, 38.741142], [-104.668092, 39.035895], [-104.910562, 39.035895]]",-0.4019,Negative
6397,markmaddenx i guess its the inmates are running the asylum  oh wait individualism new definition da steelers,United States,"[[-80.31925, 40.705834], [-80.247041, 40.705834], [-80.247041, 40.792766], [-80.31925, 40.792766]]",0.0,Neutral
6399,fferic30 gerardmurphy wikileaksshop the un ruled he is being illegally detained and the uk instead reenacted an arrest warrant a couple months ago despite un ruling  see you can take asylum for political warrants not criminal which is why uk should let him leave to ecuador that is un country treaties,United States,"[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]",-0.3662,Negative
6400,stormbastille timw3811 mypug4president sarahwaugh20 teasippingbarb agreeplay shirredeemable jdw714 guagelester deeppopq joeybaker09 lexus6504 amluvinit2 gopistreasonous buddhakatze rabamary fasteddyto abillionshivas tomzbhappy qanonisfake mclogic78 clausphanta rhondathecat havokhawk 42gnome randallpink17 buffyfunk zrx2coinbase angryandasian mykniyk stacydalessand3 drdebrajkenned2 lgbtresistance hubbinssaint elizabethbryso5 stellafactor zoneqone misscalliecat poersure mrmario1 hackdz mregan1002 mrsperrin tinostuff rileypresident kona2tx 104sonador catcatdean badgerczar michellerambo2 pres trump is not a racist no matter how many times you say he is listen to the entire charlottesville comments he doesnt say that nazis and kkk are good peoplethere is a right way to seek asylum and it is not entering the country illegally i could go on and on block,United States,"[[-84.3219475, 33.752879], [-75.40012, 33.752879], [-75.40012, 36.588118], [-84.3219475, 36.588118]]",0.6167,Positive
6402,are any other countries taking humanitarian crisis asylum applications from americans yet,United States,"[[-91.51308, 36.970298], [-87.019935, 36.970298], [-87.019935, 42.508303], [-91.51308, 42.508303]]",-0.6249,Negative
6406,gop patticonn by stronger borders  do you mean ripping asylum seekers children from them and touring them democrats want stronger borders thru bipaisan laws  not tourerepublikkklans want them thru fear and useless expensive walls,United States,"[[-80.519851, 39.719801], [-74.689517, 39.719801], [-74.689517, 42.516072], [-80.519851, 42.516072]]",-0.0516,Negative
6408,tard tom taught black women how to rape whites in the asylum wards,United States,"[[-122.592422, 37.9426184], [-122.449033, 37.9426184], [-122.449033, 38.030467], [-122.592422, 38.030467]]",-0.8481,Negative
6420,again this is your friendly reminder that seeking asylum is legal ,United States,"[[-116.637186, 43.523489], [-116.502031, 43.523489], [-116.502031, 43.634335], [-116.637186, 43.634335]]",0.5719,Positive
6421,asylum was cool til they turned it into the alien shit,United States,"[[-87.486546, 36.4602], [-87.157791, 36.4602], [-87.157791, 36.641767], [-87.486546, 36.641767]]",-0.3182,Negative
6422,gop have damaged global respect for americans the world thinks we are healess amp cruel watching humanrightscrimes occur to immigrants seeking our help amp asylum to protect their children votethemout fohepeople wearebettehanthis takeitback flipitblue teampelosi ,United States,"[[-90.310298, 34.982924], [-81.646901, 34.982924], [-81.646901, 36.678119], [-90.310298, 36.678119]]",0.1779,Positive
6423,they didnt enter illegally they entered legally while seeking asylum asylumseeking is a legal way of entering the country plus how could you say that children were illegal ,United States,"[[-97.928935, 30.127892], [-97.5805133, 30.127892], [-97.5805133, 30.5187994], [-97.928935, 30.5187994]]",-0.4019,Negative
6425,mouthygirl12 cjneilsonwrites tomarnold asylumcore2 realdonaldtrump it is a documentary of sos and its on viceland ch where hes looking for diy tapes on donald trump anyting di that has to do with donald trump ,United States,"[[-86.339696, 43.201538], [-86.144095, 43.201538], [-86.144095, 43.264395], [-86.339696, 43.264395]]",0.0,Neutral
6426,please follow huddledmorg to help raising awareness for human rights democracy and freedoms in turkey as well as providing help to the asylum seekers outside of turkey also visit the website  thanks hknzfr hakansukur eneskanter caapulcukiz,United States,"[[-88.179339, 41.8878113], [-88.081435, 41.8878113], [-88.081435, 41.9427683], [-88.179339, 41.9427683]]",0.9169,Positive
6427,name one american horror story scene better than the name game in asylum,United States,"[[-96.903853, 46.787881], [-96.756332, 46.787881], [-96.756332, 46.941884], [-96.903853, 46.941884]]",-0.2023,Negative
6428,profkarihong we need zero refugees amp asylum seekers to find another country we need border security amp a huge wall we have done enough lets take care of our poor appalachia people amp other distressed areas,United States,"[[-97.512109, 32.647286], [-97.411765, 32.647286], [-97.411765, 32.723883], [-97.512109, 32.723883]]",0.25,Positive
6429,how did zacharyquinto not win the emmy for asylum someone explain this to me ,United States,"[[-80.239991, 42.018414], [-79.934073, 42.018414], [-79.934073, 42.202992], [-80.239991, 42.202992]]",-0.4717,Negative
6430,or having him locked up prison or insane asylum toss up ,United States,"[[-111.960775, 33.4358637], [-111.756022, 33.4358637], [-111.756022, 33.842816], [-111.960775, 33.842816]]",-0.7184,Negative
6431,and obtained political asylum in the us after his fouryear student visa expired rafael cruz earned canadian citizenship in 1973 and became a naturalized us citizen in 2005at the time of his bih ted cruzs parents had lived in calgary for three years and were working ,United States,"[[-96.85743, 32.9971507], [-96.612371, 32.9971507], [-96.612371, 33.1253341], [-96.85743, 33.1253341]]",0.0,Neutral
6432,sebgorka good grief  the inmates are running the asylum  get on with it without herwho cares,United States,"[[-73.117176, 44.774048], [-73.059418, 44.774048], [-73.059418, 44.839609], [-73.117176, 44.839609]]",-0.4176,Negative
6433,i tried the chidori too after sasuke vs gaara youtubed the hand signs and all i really belonged in an asylum as a kid with all this damn anime i tried to go bankai i had a death note i wanted to be zoro from one piece i  ,United States,"[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]",-0.5893,Negative
6434,idk whats going on right now because i missed the first 2 seasons im seeing tweets about murder house and asylum   i staed with coven lol ahsapocalypse ,United States,"[[-83.67529, 36.540739], [-75.16644, 36.540739], [-75.16644, 39.466012], [-83.67529, 39.466012]]",-0.6705,Negative
6435,laranogueras syddthakydd 2kray asylum and coven were absolutely my favorites i feel like you got to know the characters the best in both those seasons,United States,"[[-71.130699, 42.2006589], [-71.031508, 42.2006589], [-71.031508, 42.277667], [-71.130699, 42.277667]]",0.8683,Positive
6436,m27731630 repjoekennedy they are not asking for money but asylum they want to live it has nothing to do with homeless or veterans,United States,"[[-72.557247, 42.6969837], [-70.575095, 42.6969837], [-70.575095, 45.305476], [-72.557247, 45.305476]]",0.1154,Positive
